url地址	漏洞类型	漏洞名称	危险等级	内容
http://tsg.hbmy.edu.cn/	WebDAVEnable	允许WebDAV	Low	Web Server
http://uml.jpkc.hbvtc.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://uml.jpkc.hbvtc.edu.cn/
http://www.bygz.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.bygz.cn/
http://en.huat.edu.cn/	IisShortfname	IIS短文件名泄露	Low	http://en.huat.edu.cn/*~1*/a.aspx?aspxerrorpath=/
http://alydzx.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://alydzx.cn/
http://www.wnzjjt.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.wnzjjt.com/
http://www.hsyz.net.cn/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://www.hsyz.net.cn/
http://61.183.86.2/	XFrameOptions	X-Frame-Options Header未配置	Low	http://61.183.86.2/
http://www.dfyz.net/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.dfyz.net/
http://www.xtjky.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.xtjky.com/
http://www.xtjky.com/	LoginWithHttp	基于HTTP连接的登录请求	Low	http://www.xtjky.com/
http://www.xtjky.com/	WebDAVEnable	允许WebDAV	Low	Web Server
http://www.xtjky.com/	RobotsInfo	Robots.txt站点文件	Low	http://www.xtjky.com/robots.txt
http://221.232.159.11/	UnsafeHttpMethod	启用了不安全的HTTP方法	Low	method_unsafe:PUT,DELETE
http://ttc.yangtzeu.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://ttc.yangtzeu.edu.cn/
http://221.235.53.237/	XFrameOptions	X-Frame-Options Header未配置	Low	http://221.235.53.237/
http://173.224.210.189/	XFrameOptions	X-Frame-Options Header未配置	Low	http://173.224.210.189/
http://173.224.210.189/	WebDAVEnable	允许WebDAV	Low	Web Server
http://www.hssz.net.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.hssz.net.cn/
http://www.hssz.net.cn/	RobotsInfo	Robots.txt站点文件	Low	http://www.hssz.net.cn/robots.txt
http://www.hssz.net.cn/include	HostHeaderAttack	Host头攻击	Low	evilhost707a2708.com
http://tcsx.cc/	XFrameOptions	X-Frame-Options Header未配置	Low	http://tcsx.cc/
http://219.140.191.170/	XFrameOptions	X-Frame-Options Header未配置	Low	http://219.140.191.170/
http://xdlxx.net/erh/jquery_002.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : 1.8.3
http://zdzsxxx.icoc.me/	XFrameOptions	X-Frame-Options Header未配置	Low	http://zdzsxxx.icoc.me/
http://119.36.87.15/	XFrameOptions	X-Frame-Options Header未配置	Low	http://119.36.87.15/
http://jmxszx.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://jmxszx.cn/
http://jmxszx.cn/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://jmxszx.cn/
http://202.197.144.195/	XFrameOptions	X-Frame-Options Header未配置	Low	http://202.197.144.195/
http://202.197.144.195/resource/se/common/jquery.js?20130916	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : 1.6.4
http://221.232.159.11/	XFrameOptions	X-Frame-Options Header未配置	Low	http://221.232.159.11/
http://ydlcyx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://ydlcyx.com/
http://www.yyhs.net/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.yyhs.net/
http://www.98xtxy.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.98xtxy.com/
http://qjljyj.com/	WebDAVEnable	允许WebDAV	Low	Web Server
http://zgt.cnqjw.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://zgt.cnqjw.com/
http://qchh.whsw.edu.cn/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://qchh.whsw.edu.cn/
http://www.xf5z.com/Main.aspx	LoginWithHttp	基于HTTP连接的登录请求	Low	http://www.xf5z.com/Main.aspx
http://www.xtzczxxx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.xtzczxxx.com/
http://xtsmzex.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://xtsmzex.com/
http://xdlxx.net/js/jquery.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : 1.4.2
http://xdlxx.net/er/jquery-1.3.1.min.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : jquery-1.3.1.min.js
http://xdlxx.net/	IisShortfname	IIS短文件名泄露	Low	http://xdlxx.net/*~1*/a.aspx?aspxerrorpath=/
http://www.whxzyz.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://www.whxzyz.com/
http://www.whxzyz.com/	RobotsInfo	Robots.txt站点文件	Low	http://www.whxzyz.com/robots.txt
http://221.233.162.244/	XFrameOptions	X-Frame-Options Header未配置	Low	http://221.233.162.244/
http://221.233.162.244/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://221.233.162.244/
http://xdlxx.net/	WebDAVEnable	允许WebDAV	Low	Web Server
http://xdlxx.net/banner/jquery-1.8.2.min.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : jquery-1.8.2.min.js
http://www.hsbmsxx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.hsbmsxx.com/
http://www.hsbmsxx.com/	WebDAVEnable	允许WebDAV	Low	Web Server
http://www.hsbmsxx.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://www.hsbmsxx.com/
http://122.205.143.176/	IisShortfname	IIS短文件名泄露	Low	http://122.205.143.176/*~1*/a.aspx?aspxerrorpath=/
http://gzc.scuec.edu.cn/	WebDAVEnable	允许WebDAV	Low	Web Server
http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-fixedcolumns/css/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-fixedcolumns/css/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-fixedcolumns/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-fixedcolumns/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/bootstrap/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/bootstrap/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-fixedcolumns/js/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-fixedcolumns/js/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-scroller/js/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-scroller/js/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-scroller/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/datatables-scroller/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-schema-form/decorators/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-schema-form/decorators/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap-datetimepicker/js/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap-datetimepicker/js/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap-datetimepicker/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap-datetimepicker/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap-datetimepicker/js/locales/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap-datetimepicker/js/locales/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/fixedcolumns/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/fixedcolumns/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/tabletools/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/tabletools/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/scroller/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/plugins/scroller/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/TableTools/js/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/TableTools/js/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/jquery-ui-1.11.4.custom/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/jquery-ui-1.11.4.custom/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/Hermite-resize-master/dist/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/Hermite-resize-master/dist/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap-datetimepicker/css/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap-datetimepicker/css/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/themes/default/css/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/themes/default/css/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/themes/default/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/themes/default/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/jquery-ui-1.11.4.custom/images/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/jquery-ui-1.11.4.custom/images/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/themes/default/images/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/themes/default/images/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/third-party/codemirror/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/third-party/codemirror/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/dialogs/wordimage/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/dialogs/wordimage/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/third-party/zeroclipboard/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/third-party/zeroclipboard/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/jquery-ui-1.11.4.custom/external/jquery/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/jquery-ui-1.11.4.custom/external/jquery/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/jquery-ui-1.11.4.custom/external/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/jquery-ui-1.11.4.custom/external/anonymous.aspx
http://e21.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://e21.edu.cn/
http://www.wust.edu.cn/_js/jquery.min.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : 1.7.1
http://www.wh20zx.com/register.jspx	BlindSqlInjection_base64	SQL盲注（Base64）	Critical	{PARAM}:username {INJ_TYPE}:{INJTYPE_NUMBER} {DB_TYPE}:PostgreSQL
http://www.wh20zx.com/search.jspx?ent=1&q=请输入您要搜索的关键词&提交=?	Xss	跨站脚本	High	{ID_INJECTION_MODE}:param_name ,{PARAM}:1 ,{ID_PAYLOAD}:"><script>alert(40410)</script>
http://kyeasv2.huat.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://kyeasv2.huat.edu.cn/
http://61.183.86.11/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://61.183.86.11/
http://61.183.86.11/	RobotsInfo	Robots.txt站点文件	Low	http://61.183.86.11/robots.txt
http://61.183.86.11/webschool/	RobotsInfo	Robots.txt站点文件	Low	http://61.183.86.11/webschool/robots.txt
http://en.huat.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://en.huat.edu.cn/
http://en.huat.edu.cn/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://en.huat.edu.cn/
http://ycsyey.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://ycsyey.com/
http://ycsyey.com/	WebDAVEnable	允许WebDAV	Low	Web Server
http://ycsyey.com/templets/junshi/js/jquery-1.4.2.min.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : jquery-1.4.2.min.js
http://ycsyey.com/templets/junshi/js/jquery-1.4.2.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : jquery-1.4.2.js
http://ycsyey.com/templets/junshi/js/jquery.min.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : 1.4.2
http://www.yyhs.net/syzx_img/jquery-1.8.3.min.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : jquery-1.8.3.min.js
http://www.yyhs.net/vote.php	Xss	跨站脚本	High	{ID_INJECTION_MODE}:filename ,{PARAM}:filename ,{ID_PAYLOAD}:"><script>alert(80418)</script>
http://www.yyhs.net/show_guestbook.php	Xss	跨站脚本	High	{ID_INJECTION_MODE}:filename ,{PARAM}:filename ,{ID_PAYLOAD}:";document.title=79135;x="
http://www.yyhs.net/zkzs.php	Xss	跨站脚本	High	{ID_INJECTION_MODE}:filename ,{PARAM}:filename ,{ID_PAYLOAD}:"><script>prompt(55392)</script>
http://www.yyhs.net/post_vote.php	Xss	跨站脚本	High	{ID_INJECTION_MODE}:param ,{PARAM}:url ,{ID_PAYLOAD}:'><script>alert(42568)</script>
http://www.yyhs.net/show_guestbook.php?page=1	Xss	跨站脚本	High	{ID_INJECTION_MODE}:param_name ,{PARAM}:1 ,{ID_PAYLOAD}:'><script>confirm(46515)</script>
http://qchh.whsw.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://qchh.whsw.edu.cn/
http://qchh.whsw.edu.cn/admin/	LoginWithHttp	基于HTTP连接的登录请求	Low	http://qchh.whsw.edu.cn/admin/
http://221.233.197.234/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://221.233.197.234/
http://221.233.197.234/	XFrameOptions	X-Frame-Options Header未配置	Low	http://221.233.197.234/
http://www.whxzyz.com/ScriptResource.axd?d=GVxK7Cv0atr6c7HVhllqS6HvXl1SWDaYXJJJ5vp91watorerW2gCLbgARDRBXjtKqaqQA_uPlIpks6u7bY-QLm9XlRzc5wi63ITzRWQ7lH6rHsma_zO1FVE_DpU1&t=634800220390000000	WebApplicationError	Web应用程序错误	Low	HTTP CODE : 500
http://www.dfyz.net/	RobotsInfo	Robots.txt站点文件	Low	http://www.dfyz.net/robots.txt
http://59.175.200.6/cm2/	RobotsInfo	Robots.txt站点文件	Low	http://59.175.200.6/cm2/robots.txt
http://whzcxx.net/	WebApplicationError	Web应用程序错误	Low	HTTP CODE : 500
http://59.175.200.6/	XFrameOptions	X-Frame-Options Header未配置	Low	http://59.175.200.6/
http://hbezey.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://hbezey.com/
http://59.175.200.6/cm2	HostHeaderAttack	Host头攻击	Low	evilhost1bb12775.com
http://whjxmx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://whjxmx.com/
http://www.hbjhart.com/cj/	WebApplicationError	Web应用程序错误	Low	HTTP CODE : 500
http://whjxmx.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://whjxmx.com/
http://whjxmx.com/js1/jquery-1.4.2.min.js	JqueryXss	jQuery跨站脚本	Low	jQuery Ver : jquery-1.4.2.min.js
http://www.kfqxhxx.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://www.kfqxhxx.com/
http://www.dfyz.net/member/login.php?forward=http%3A%2F%2Fwww.dfyz.net%2Fmember%2F	LoginWithHttp	基于HTTP连接的登录请求	Low	http://www.dfyz.net/member/login.php?forward=http%3A%2F%2Fwww.dfyz.net%2Fmember%2F
http://122.205.143.176/	XFrameOptions	X-Frame-Options Header未配置	Low	http://122.205.143.176/
http://122.205.143.176/	WebDAVEnable	允许WebDAV	Low	Web Server
http://enwgyxx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://enwgyxx.com/
http://enwgyxx.com/	WebDAVEnable	允许WebDAV	Low	Web Server
http://enwgyxx.com/	HttpsysRce	Http.sys远程代码执行	Critical	http://enwgyxx.com/
http://xdlxx.net/	XFrameOptions	X-Frame-Options Header未配置	Low	http://xdlxx.net/
http://gzc.scuec.edu.cn/AssertMgt/css/font-awesome-4.2.0/css/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/css/font-awesome-4.2.0/css/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ui-select-master/dist/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ui-select-master/dist/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap3.2.0/css/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap3.2.0/css/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-charts-nvd3/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-charts-nvd3/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrapmodal/css/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrapmodal/css/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-datatables/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-multiselect/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-multiselect/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-schema-form/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-schema-form/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/TableTools/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/datatables/TableTools/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/Hermite-resize-master/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/Hermite-resize-master/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/css/font-awesome-4.2.0/fonts/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/css/font-awesome-4.2.0/fonts/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap3.2.0/fonts/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/bootstrap3.2.0/fonts/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-tree/images/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/angular-tree/images/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/lang/zh-cn/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/lang/zh-cn/anonymous.aspx
http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/third-party/	DebugAspx	ASP.NET允许文件调试	Low	http://gzc.scuec.edu.cn/AssertMgt/js/lib/ueditor/third-party/anonymous.aspx
http://dszx.0713dns.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://dszx.0713dns.cn/
http://www.brtyey.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.brtyey.com/
http://www.brtyey.com/	WebDAVEnable	允许WebDAV	Low	Web Server
http://www.brtyey.com/	RobotsInfo	Robots.txt站点文件	Low	http://www.brtyey.com/robots.txt
http://tsg.hbmy.edu.cn/NewsDetail.aspx?id=378	WebApplicationError	Web应用程序错误	Low	HTTP CODE : 500
http://www.hbxyhx.com/news/jsnews.asp?cataid=A0086&words=14&num=10&pic=16&pica=3	WebApplicationError	Web应用程序错误	Low	HTTP CODE : 500
http://www.zzwxx.com/	TraceHttp	允许TRACE方法	Medium	http://www.zzwxx.com/
